id,doi,titulo,ano,citacoes,fwci
https://openalex.org/W4403102965,https://doi.org/10.1002/sd.3221,<scp>AI</scp>‐driven adaptive learning for sustainable educational transformation,2024,394,265.8389
https://openalex.org/W4403258450,https://doi.org/10.1016/j.spc.2024.09.025,"Global projections of plastic use, end-of-life fate and potential changes in consumption, reduction, recycling and replacement with bioplastics to 2050",2024,307,34.7264
https://openalex.org/W4403530914,https://doi.org/10.1016/j.heha.2024.100114,"Artificial intelligence in environmental monitoring: Advancements, challenges, and future directions",2024,247,43.3529
https://openalex.org/W4402923059,https://doi.org/10.1057/s41599-024-03811-x,AI hallucination: towards a comprehensive classification of distorted information in artificial intelligence-generated content,2024,233,223.6237
https://openalex.org/W4405008648,https://doi.org/10.56294/dm2025521,Intelligent Data-Driven Task Offloading Framework for Internet of Vehicles Using Edge Computing and Reinforcement Learning,2024,200,62.4419
https://openalex.org/W4404619538,https://doi.org/10.1039/d4va00136b,Innovative approaches to sustainable wastewater treatment: a comprehensive exploration of conventional and emerging technologies,2024,185,46.1257
https://openalex.org/W4402858717,https://doi.org/10.1093/jamia/ocae209,Toward a responsible future: recommendations for AI-enabled clinical decision support,2024,145,14.6185
https://openalex.org/W4404127725,https://doi.org/10.1007/s10462-024-11005-9,Robustness in deep learning models for medical diagnostics: security and adversarial challenges towards robust AI applications,2024,138,41.1245
https://openalex.org/W4403492460,https://doi.org/10.3390/app14209348,"A Comprehensive Literature Review on Hydrogen Tanks: Storage, Safety, and Structural Integrity",2024,132,164.3075
https://openalex.org/W4403749142,https://doi.org/10.1057/s41599-024-03947-w,Artificial intelligence for low income countries,2024,125,35.4627
https://openalex.org/W4403544528,https://doi.org/10.3390/su16209021,Exploring the Role of Tourist Pro-Environmental Behavior in Autonomous Vehicle Adoption: A TPB and PLS-SEM Approach,2024,121,21.6531
https://openalex.org/W4404197707,https://doi.org/10.1016/j.jik.2024.100610,Determinants of digital technology adoption in innovative SMEs,2024,119,72.0625
https://openalex.org/W4405955651,https://doi.org/10.1111/jofi.13412,Sustainability or Greenwashing: Evidence from the Asset Market for Industrial Pollution,2024,114,51.0717
https://openalex.org/W4404229704,https://doi.org/10.3390/rs16224196,Review of Recent Advances in Remote Sensing and Machine Learning Methods for Lake Water Quality Management,2024,98,17.0613
https://openalex.org/W4405264897,https://doi.org/10.1007/s11704-024-3853-2,A survey of dynamic graph neural networks,2024,92,27.6568
https://openalex.org/W4402664816,https://doi.org/10.3390/electronics13183738,An Analysis of Research Trends for Using Artificial Intelligence in Cultural Heritage,2024,90,60.9874
https://openalex.org/W4405524677,https://doi.org/10.1038/s41598-024-81132-4,Ensemble deep learning and EfficientNet for accurate diagnosis of diabetic retinopathy,2024,87,30.8559
https://openalex.org/W4404199748,https://doi.org/10.1016/j.jik.2024.100597,Is AI-based digital marketing ethical? Assessing a new data privacy paradox,2024,85,57.4207
https://openalex.org/W4402924370,https://doi.org/10.1038/s41467-024-52618-6,Generalizability assessment of AI models across hospitals in a low-middle and high income country,2024,85,8.5695
https://openalex.org/W4405079708,https://doi.org/10.1038/s41560-024-01670-z,Machine learning-accelerated discovery of heat-resistant polysulfates for electrostatic energy storage,2024,82,14.8652
https://openalex.org/W4403255812,https://doi.org/10.30574/wjarr.2024.24.1.3093,AI-driven business analytics and decision making,2024,82,38.2982
https://openalex.org/W4404760618,https://doi.org/10.3390/en17235965,Challenges of Artificial Intelligence Development in the Context of Energy Consumption and Impact on Climate Change,2024,81,14.8311
https://openalex.org/W4405854414,https://doi.org/10.1111/bjet.13556,A Competency Framework for AI Literacy: Variations by Different Learner Groups and an Implied Learning Pathway,2024,80,28.1576
https://openalex.org/W4404828222,https://doi.org/10.3390/admsci14120316,Artificial Intelligence and Its Role in Shaping Organizational Work Practices and Culture,2024,80,8.1089
https://openalex.org/W4405546215,https://doi.org/10.1186/s12912-024-02571-y,Facilitators and barriers to AI adoption in nursing practice: a qualitative study of registered nurses' perspectives,2024,78,7.9062
https://openalex.org/W4403852237,https://doi.org/10.1093/nar/gkae969,MOBIDB in 2025: integrating ensemble properties and function annotations for intrinsically disordered proteins,2024,77,15.2804
https://openalex.org/W4403963503,https://doi.org/10.1016/j.jik.2024.100598,Data governance &amp; quality management—Innovation and breakthroughs across different fields,2024,76,32.1267
https://openalex.org/W4404448165,https://doi.org/10.1057/s41599-024-04018-w,The mental health implications of artificial intelligence adoption: the crucial role of self-efficacy,2024,72,38.2415
https://openalex.org/W4403690339,https://doi.org/10.3390/electronics13214151,How Artificial Intelligence (AI) Is Powering New Tourism Marketing and the Future Agenda for Smart Tourist Destinations,2024,72,69.5865
https://openalex.org/W4403130936,https://doi.org/10.30574/ijsra.2024.13.1.1872,Navigating ethical challenges of explainable ai in autonomous systems,2024,70,31.7676
https://openalex.org/W4405642324,https://doi.org/10.3390/app142411934,Artificial Intelligence and Smart Technologies in Safety Management: A Comprehensive Analysis Across Multiple Industries,2024,69,58.6937
https://openalex.org/W4404254054,https://doi.org/10.3390/info15110725,"AI for Decision Support: Balancing Accuracy, Transparency, and Trust Across Sectors",2024,69,20.6022
https://openalex.org/W4405922642,https://doi.org/10.30935/cedtech/15775,"Ensuring academic integrity in the age of ChatGPT: Rethinking exam design, assessment strategies, and ethical AI policies in higher education",2024,68,6.9283
https://openalex.org/W4405235079,https://doi.org/10.3390/electronics13244874,"Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions",2024,68,15.4776
https://openalex.org/W4405107520,https://doi.org/10.3390/ai5040134,Trustworthy AI: Securing Sensitive Data in Large Language Models,2024,68,20.2642
https://openalex.org/W4405021649,https://doi.org/10.3389/fmed.2024.1495582,Why we need to be careful with LLMs in medicine,2024,68,6.9283
https://openalex.org/W4405696048,https://doi.org/10.3390/su162411265,AI-Driven Optimization of Urban Logistics in Smart Cities: Integrating Autonomous Vehicles and IoT for Efficient Delivery Systems,2024,67,15.373
https://openalex.org/W4404876948,https://doi.org/10.1038/s41746-024-01328-w,Impact of human and artificial intelligence collaboration on workload reduction in medical image interpretation,2024,67,6.7548
https://openalex.org/W4404535704,https://doi.org/10.3390/su162210132,"Innovative Pathways in Carbon Capture: Advancements and Strategic Approaches for Effective Carbon Capture, Utilization, and Storage",2024,67,12.1592
https://openalex.org/W4403714226,https://doi.org/10.1016/j.clsr.2024.106066,"Generative AI in EU law: Liability, privacy, intellectual property, and cybersecurity",2024,67,19.9662
https://openalex.org/W4405552721,https://doi.org/10.3390/su162411079,"An Overview of Digital Transformation and Environmental Sustainability: Threats, Opportunities, and Solutions",2024,66,16.4205
https://openalex.org/W4403973488,https://doi.org/10.1016/j.heliyon.2024.e40025,Impact of artificial intelligence adoption on students' academic performance in open and distance learning: A systematic literature review,2024,66,23.7169
https://openalex.org/W4402747641,https://doi.org/10.1145/3696457,Fairness and Bias in Algorithmic Hiring: A Multidisciplinary Survey,2024,66,28.9501
https://openalex.org/W4405131138,https://doi.org/10.1016/j.tsc.2024.101727,Creative partnerships with generative AI. Possibilities for education and beyond,2024,64,27.1004
https://openalex.org/W4404030539,https://doi.org/10.1016/s0140-6736(24)01925-1,"Global, regional, and national stillbirths at 20 weeks' gestation or longer in 204 countries and territories, 1990–2021: findings from the Global Burden of Disease Study 2021",2024,64,62.5259
https://openalex.org/W4403107180,https://doi.org/10.3390/jmse12101748,Research on the Identification and Classification of Marine Debris Based on Improved YOLOv8,2024,64,11.2252
https://openalex.org/W4404199718,https://doi.org/10.28991/esj-2024-08-05-012,Extreme Rainfall Trends and Hydrometeorological Disasters in Tropical Regions: Implications for Climate Resilience,2024,64,18.2803
https://openalex.org/W4402830391,https://doi.org/10.2196/64406,Ethical Considerations in Human-Centered AI: Advancing Oncology Chatbots Through Large Language Models,2024,64,6.5821
https://openalex.org/W4402746045,https://doi.org/10.1016/j.jafr.2024.101429,Leveraging blockchain to tackle food fraud: Innovations and obstacles,2024,64,43.4364
https://openalex.org/W4404960985,https://doi.org/10.1001/jamanetworkopen.2024.48723,Developing and Evaluating Large Language Model–Generated Emergency Medicine Handoff Notes,2024,63,40.3166
